Real_Time,Temp_C,Cond_uScm-1,Elapsed_sec,datetime
946684805,21.45,0,0,2025-4-23 12:32:22
946684822,21.46,0,17,2025-4-23 12:32:39
946684842,21.48,0,37,2025-4-23 12:32:59
946684862,21.49,0,57,2025-4-23 12:33:19
946684882,21.51,0,77,2025-4-23 12:33:39
946684902,21.53,0,97,2025-4-23 12:33:59
946684922,21.66,0,117,2025-4-23 12:34:19
946684942,21.95,0,137,2025-4-23 12:34:39
946684962,23.34,0,157,2025-4-23 12:34:59
946684982,23.65,0,177,2025-4-23 12:35:19
946685002,23.66,0,197,2025-4-23 12:35:39
946685022,23.67,0,217,2025-4-23 12:35:59
946685042,23.67,0,237,2025-4-23 12:36:19
946685062,23.67,0,257,2025-4-23 12:36:39
946685082,23.66,0,277,2025-4-23 12:36:59
946685102,23.65,0,297,2025-4-23 12:37:19
946685122,23.63,0,317,2025-4-23 12:37:39
946685142,23.61,0,337,2025-4-23 12:37:59
946685162,23.59,0,357,2025-4-23 12:38:19
946685182,23.57,0,377,2025-4-23 12:38:39
946685202,23.55,0,397,2025-4-23 12:38:59
946685222,23.52,0,417,2025-4-23 12:39:19
946685242,23.5,0,437,2025-4-23 12:39:39
946685263,23.48,0,458,2025-4-23 12:40:00
946685283,23.45,0,478,2025-4-23 12:40:20
946685303,23.43,0,498,2025-4-23 12:40:40
946685323,23.02,0,518,2025-4-23 12:41:00
946685343,22.71,0,538,2025-4-23 12:41:20
946685363,22.68,0,558,2025-4-23 12:41:40
946685383,22.06,15120,578,2025-4-23 12:42:00
946685403,21.77,15200,598,2025-4-23 12:42:20
946685423,21.76,13540,618,2025-4-23 12:42:40
946685443,21.75,15500,638,2025-4-23 12:43:00
946685463,21.73,15490,658,2025-4-23 12:43:20
946685483,21.72,15490,678,2025-4-23 12:43:40
946685503,21.7,15490,698,2025-4-23 12:44:00
946685523,21.69,15490,718,2025-4-23 12:44:20
946685543,21.68,15500,738,2025-4-23 12:44:40
946685563,21.67,15500,758,2025-4-23 12:45:00
946685583,21.67,15500,778,2025-4-23 12:45:20
946685603,21.66,15500,798,2025-4-23 12:45:40
946685623,21.65,15500,818,2025-4-23 12:46:00
946685643,21.65,15490,838,2025-4-23 12:46:20
946685663,21.64,15490,858,2025-4-23 12:46:40
946685683,21.63,15500,878,2025-4-23 12:47:00
946685702,21.63,15500,897,2025-4-23 12:47:19
946685722,21.62,15490,917,2025-4-23 12:47:39
946685742,21.61,15490,937,2025-4-23 12:47:59
946685762,21.6,15490,957,2025-4-23 12:48:19
946685782,21.6,15490,977,2025-4-23 12:48:39
946685802,21.59,15490,997,2025-4-23 12:48:59
946685822,21.59,15490,1017,2025-4-23 12:49:19
946685842,21.58,15490,1037,2025-4-23 12:49:39
946685862,21.58,15490,1057,2025-4-23 12:49:59
946685882,21.57,15490,1077,2025-4-23 12:50:19
946685962,21.71,98820,1157,2025-4-23 12:51:39
946685982,21.69,98980,1177,2025-4-23 12:51:59
946686002,21.67,99130,1197,2025-4-23 12:52:19
946686022,21.66,99200,1217,2025-4-23 12:52:39
946686042,21.64,99280,1237,2025-4-23 12:52:59
946686062,21.63,99290,1257,2025-4-23 12:53:19
946686082,21.62,99380,1277,2025-4-23 12:53:39
946686102,21.61,99350,1297,2025-4-23 12:53:59
946686122,21.6,99340,1317,2025-4-23 12:54:19
946686142,21.59,99340,1337,2025-4-23 12:54:39
946686162,21.58,99350,1357,2025-4-23 12:54:59
946686182,21.58,99330,1377,2025-4-23 12:55:19
946686202,21.57,99330,1397,2025-4-23 12:55:39
946686222,21.57,99400,1417,2025-4-23 12:55:59
946686242,21.56,99300,1437,2025-4-23 12:56:19
946686262,21.55,99360,1457,2025-4-23 12:56:39
946686282,21.55,99290,1477,2025-4-23 12:56:59
946686302,21.54,99300,1497,2025-4-23 12:57:19
946686323,21.54,99300,1518,2025-4-23 12:57:40
946686343,21.53,99290,1538,2025-4-23 12:58:00
946686363,21.53,99310,1558,2025-4-23 12:58:20
946686383,21.52,99260,1578,2025-4-23 12:58:40
946686403,21.52,99300,1598,2025-4-23 12:59:00
946686423,21.51,99260,1618,2025-4-23 12:59:20
