cond_uscm,datetime
0,2025-04-23 12:34:40
0,2025-04-23 12:35:00
0,2025-04-23 12:35:20
0,2025-04-23 12:35:40
0,2025-04-23 12:36:00
0,2025-04-23 12:36:20
0,2025-04-23 12:36:40
0,2025-04-23 12:37:00
0,2025-04-23 12:37:20
0,2025-04-23 12:37:40
0,2025-04-23 12:38:00
0,2025-04-23 12:38:20
0,2025-04-23 12:38:40
0,2025-04-23 12:39:00
0,2025-04-23 12:39:20
0,2025-04-23 12:39:40
0,2025-04-23 12:40:00
0,2025-04-23 12:40:20
0,2025-04-23 12:40:40
0,2025-04-23 12:41:00
0,2025-04-23 12:41:20
0,2025-04-23 12:41:40
0,2025-04-23 12:41:52
12880,2025-04-23 12:41:53
12880,2025-04-23 12:42:13
12880,2025-04-23 12:42:33
12880,2025-04-23 12:42:53
12880,2025-04-23 12:43:13
12880,2025-04-23 12:43:33
12880,2025-04-23 12:43:53
12880,2025-04-23 12:44:13
12880,2025-04-23 12:44:33
12880,2025-04-23 12:44:53
12880,2025-04-23 12:45:13
12880,2025-04-23 12:45:33
12880,2025-04-23 12:45:53
12880,2025-04-23 12:46:13
12880,2025-04-23 12:46:33
12880,2025-04-23 12:46:53
12880,2025-04-23 12:47:13
12880,2025-04-23 12:47:33
12880,2025-04-23 12:47:53
12880,2025-04-23 12:48:13
12880,2025-04-23 12:48:33
12880,2025-04-23 12:48:53
12880,2025-04-23 12:49:13
12880,2025-04-23 12:49:33
12880,2025-04-23 12:49:53
12880,2025-04-23 12:50:13
12880,2025-04-23 12:50:33
12880,2025-04-23 12:50:53
12880,2025-04-23 12:51:13
12880,2025-04-23 12:51:30
80000,2025-04-23 12:51:31
80000,2025-04-23 12:51:51
80000,2025-04-23 12:52:11
80000,2025-04-23 12:52:31
80000,2025-04-23 12:52:51
80000,2025-04-23 12:53:11
80000,2025-04-23 12:53:31
80000,2025-04-23 12:53:51
80000,2025-04-23 12:54:11
80000,2025-04-23 12:54:31
80000,2025-04-23 12:54:51
80000,2025-04-23 12:55:11
80000,2025-04-23 12:55:31
80000,2025-04-23 12:55:51
80000,2025-04-23 12:56:11
80000,2025-04-23 12:56:31
80000,2025-04-23 12:56:51
80000,2025-04-23 12:57:11
80000,2025-04-23 12:57:31
80000,2025-04-23 12:57:51
80000,2025-04-23 12:58:11
80000,2025-04-23 12:58:31
80000,2025-04-23 12:58:51
80000,2025-04-23 12:59:11
80000,2025-04-23 12:59:31
80000,2025-04-23 12:59:40
